 2.691535e+01 -1.512403e+01  2.691535e+01 -4.622109e-01 
 2.754229e+01 -1.476101e+01  2.754229e+01 -4.716527e-01 
 2.818383e+01 -1.439941e+01  2.818383e+01 -4.812361e-01 
 2.884032e+01 -1.403926e+01  2.884032e+01 -4.909602e-01 
 2.951209e+01 -1.368060e+01  2.951209e+01 -5.008239e-01 
 3.019952e+01 -1.332348e+01  3.019952e+01 -5.108261e-01 
 3.090295e+01 -1.296792e+01  3.090295e+01 -5.209654e-01 
 3.162278e+01 -1.261399e+01  3.162278e+01 -5.312400e-01 
 3.235937e+01 -1.226171e+01  3.235937e+01 -5.416482e-01 
 3.311311e+01 -1.191112e+01  3.311311e+01 -5.521879e-01 
 3.388442e+01 -1.156227e+01  3.388442e+01 -5.628570e-01 
 3.467369e+01 -1.121520e+01  3.467369e+01 -5.736529e-01 
 3.548134e+01 -1.086995e+01  3.548134e+01 -5.845732e-01 
 3.630781e+01 -1.052655e+01  3.630781e+01 -5.956148e-01 
 3.715352e+01 -1.018504e+01  3.715352e+01 -6.067747e-01 
 3.801894e+01 -9.845459e+00  3.801894e+01 -6.180498e-01 
 3.890451e+01 -9.507845e+00  3.890451e+01 -6.294366e-01 
 3.981072e+01 -9.172230e+00  3.981072e+01 -6.409313e-01 
 4.073803e+01 -8.838648e+00  4.073803e+01 -6.525302e-01 
 4.168694e+01 -8.507132e+00  4.168694e+01 -6.642293e-01 
 4.265795e+01 -8.177713e+00  4.265795e+01 -6.760242e-01 
 4.365158e+01 -7.850419e+00  4.365158e+01 -6.879107e-01 
 4.466836e+01 -7.525278e+00  4.466836e+01 -6.998842e-01 
 4.570882e+01 -7.202315e+00  4.570882e+01 -7.119400e-01 
 4.677351e+01 -6.881556e+00  4.677351e+01 -7.240733e-01 
 4.786301e+01 -6.563021e+00  4.786301e+01 -7.362790e-01 
 4.897788e+01 -6.246730e+00  4.897788e+01 -7.485521e-01 
 5.011872e+01 -5.932702e+00  5.011872e+01 -7.608874e-01 
 5.128614e+01 -5.620952e+00  5.128614e+01 -7.732795e-01 
 5.248075e+01 -5.311494e+00  5.248075e+01 -7.857232e-01 
 5.370318e+01 -5.004337e+00  5.370318e+01 -7.982129e-01 
 5.495409e+01 -4.699492e+00  5.495409e+01 -8.107432e-01 
 5.623413e+01 -4.396965e+00  5.623413e+01 -8.233085e-01 
 5.754399e+01 -4.096760e+00  5.754399e+01 -8.359034e-01 
 5.888437e+01 -3.798877e+00  5.888437e+01 -8.485222e-01 
 6.025596e+01 -3.503318e+00  6.025596e+01 -8.611595e-01 
 6.165950e+01 -3.210077e+00  6.165950e+01 -8.738098e-01 
 6.309573e+01 -2.919151e+00  6.309573e+01 -8.864676e-01 
 6.456542e+01 -2.630531e+00  6.456542e+01 -8.991275e-01 
 6.606934e+01 -2.344206e+00  6.606934e+01 -9.117844e-01 
 6.760830e+01 -2.060165e+00  6.760830e+01 -9.244328e-01 
 6.918310e+01 -1.778393e+00  6.918310e+01 -9.370679e-01 
 7.079458e+01 -1.498873e+00  7.079458e+01 -9.496845e-01 
 7.244360e+01 -1.221587e+00  7.244360e+01 -9.622779e-01 
 7.413102e+01 -9.465131e-01  7.413102e+01 -9.748435e-01 
 7.585776e+01 -6.736296e-01  7.585776e+01 -9.873766e-01 
 7.762471e+01 -4.029119e-01  7.762471e+01 -9.998730e-01 
 7.943282e+01 -1.343340e-01  7.943282e+01 -1.012329e+00 
 8.128305e+01  1.321317e-01  8.128305e+01 -1.024739e+00 
 8.317638e+01  3.965144e-01  8.317638e+01 -1.037101e+00 
 8.511380e+01  6.588443e-01  8.511380e+01 -1.049411e+00 
 8.709636e+01  9.191531e-01  8.709636e+01 -1.061666e+00 
 8.912509e+01  1.177473e+00  8.912509e+01 -1.073861e+00 
 9.120108e+01  1.433839e+00  9.120108e+01 -1.085996e+00 
 9.332543e+01  1.688285e+00  9.332543e+01 -1.098066e+00 
 9.549926e+01  1.940846e+00  9.549926e+01 -1.110069e+00 
 9.772372e+01  2.191558e+00  9.772372e+01 -1.122004e+00 
 1.000000e+02  2.440458e+00  1.000000e+02 -1.133868e+00 
 1.023293e+02  2.687583e+00  1.023293e+02 -1.145660e+00 
 1.047129e+02  2.932969e+00  1.047129e+02 -1.157378e+00 
 1.071519e+02  3.176655e+00  1.071519e+02 -1.169020e+00 
 1.096478e+02  3.418677e+00  1.096478e+02 -1.180586e+00 
 1.122018e+02  3.659073e+00  1.122018e+02 -1.192075e+00 
 1.148154e+02  3.897881e+00  1.148154e+02 -1.203487e+00 
 1.174898e+02  4.135137e+00  1.174898e+02 -1.214820e+00 
 1.202264e+02  4.370879e+00  1.202264e+02 -1.226075e+00 
 1.230269e+02  4.605142e+00  1.230269e+02 -1.237252e+00 
 1.258925e+02  4.837963e+00  1.258925e+02 -1.248351e+00 
 1.288250e+02  5.069377e+00  1.288250e+02 -1.259372e+00 
 1.318257e+02  5.299419e+00  1.318257e+02 -1.270317e+00 
 1.348963e+02  5.528123e+00  1.348963e+02 -1.281185e+00 
 1.380384e+02  5.755522e+00  1.380384e+02 -1.291978e+00 
 1.412538e+02  5.981650e+00  1.412538e+02 -1.302697e+00 
 1.445440e+02  6.206537e+00  1.445440e+02 -1.313344e+00 
 1.479108e+02  6.430216e+00  1.479108e+02 -1.323919e+00 
 1.513561e+02  6.652715e+00  1.513561e+02 -1.334425e+00 
 1.548817e+02  6.874064e+00  1.548817e+02 -1.344863e+00 
 1.584893e+02  7.094290e+00  1.584893e+02 -1.355235e+00 
 1.621810e+02  7.313422e+00  1.621810e+02 -1.365543e+00 
 1.659587e+02  7.531484e+00  1.659587e+02 -1.375790e+00 
 1.698244e+02  7.748502e+00  1.698244e+02 -1.385976e+00 
 1.737801e+02  7.964499e+00  1.737801e+02 -1.396106e+00 
 1.778279e+02  8.179497e+00  1.778279e+02 -1.406181e+00 
 1.819701e+02  8.393519e+00  1.819701e+02 -1.416204e+00 
 1.862087e+02  8.606584e+00  1.862087e+02 -1.426177e+00 
 1.905461e+02  8.818711e+00  1.905461e+02 -1.436104e+00 
 1.949845e+02  9.029918e+00  1.949845e+02 -1.445986e+00 
 1.995262e+02  9.240223e+00  1.995262e+02 -1.455828e+00 
 2.041738e+02  9.449640e+00  2.041738e+02 -1.465631e+00 
 2.089296e+02  9.658183e+00  2.089296e+02 -1.475400e+00 
 2.137962e+02  9.865865e+00  2.137962e+02 -1.485136e+00 
 2.187762e+02  1.007270e+01  2.187762e+02 -1.494843e+00 
 2.238721e+02  1.027869e+01  2.238721e+02 -1.504525e+00 
 2.290868e+02  1.048386e+01  2.290868e+02 -1.514184e+00 
 2.344229e+02  1.068821e+01  2.344229e+02 -1.523823e+00 
 2.398833e+02  1.089174e+01  2.398833e+02 -1.533447e+00 
 2.454709e+02  1.109446e+01  2.454709e+02 -1.543057e+00 
 2.511886e+02  1.129638e+01  2.511886e+02 -1.552658e+00 
 2.570396e+02  1.149749e+01  2.570396e+02 -1.562253e+00 
 2.630268e+02  1.169781e+01  2.630268e+02 -1.571845e+00 
 2.691535e+02  1.189733e+01  2.691535e+02 -1.581437e+00 
 2.754229e+02  1.209604e+01  2.754229e+02 -1.591033e+00 
 2.818383e+02  1.229396e+01  2.818383e+02 -1.600636e+00 
 2.884032e+02  1.249107e+01  2.884032e+02 -1.610249e+00 
 2.951209e+02  1.268737e+01  2.951209e+02 -1.619876e+00 
 3.019952e+02  1.288285e+01  3.019952e+02 -1.629519e+00 
 3.090295e+02  1.307751e+01  3.090295e+02 -1.639183e+00 
 3.162278e+02  1.327134e+01  3.162278e+02 -1.648870e+00 
 3.235937e+02  1.346433e+01  3.235937e+02 -1.658584e+00 
 3.311311e+02  1.365647e+01  3.311311e+02 -1.668327e+00 
 3.388442e+02  1.384775e+01  3.388442e+02 -1.678103e+00 
 3.467369e+02  1.403815e+01  3.467369e+02 -1.687915e+00 
