 4.570882e+02  1.632910e+01  4.570882e+02 -2.378788e+00 
 4.677351e+02  1.642344e+01  4.677351e+02 -2.390303e+00 
 4.786301e+02  1.651549e+01  4.786301e+02 -2.401800e+00 
 4.897788e+02  1.660524e+01  4.897788e+02 -2.413274e+00 
 5.011872e+02  1.669272e+01  5.011872e+02 -2.424717e+00 
 5.128614e+02  1.677792e+01  5.128614e+02 -2.436124e+00 
 5.248075e+02  1.686088e+01  5.248075e+02 -2.447489e+00 
 5.370318e+02  1.694160e+01  5.370318e+02 -2.458807e+00 
 5.495409e+02  1.702011e+01  5.495409e+02 -2.470072e+00 
 5.623413e+02  1.709642e+01  5.623413e+02 -2.481279e+00 
 5.754399e+02  1.717057e+01  5.754399e+02 -2.492421e+00 
 5.888437e+02  1.724257e+01  5.888437e+02 -2.503495e+00 
 6.025596e+02  1.731246e+01  6.025596e+02 -2.514495e+00 
 6.165950e+02  1.738026e+01  6.165950e+02 -2.525415e+00 
 6.309573e+02  1.744601e+01  6.309573e+02 -2.536253e+00 
 6.456542e+02  1.750974e+01  6.456542e+02 -2.547003e+00 
 6.606934e+02  1.757147e+01  6.606934e+02 -2.557660e+00 
 6.760830e+02  1.763125e+01  6.760830e+02 -2.568222e+00 
 6.918310e+02  1.768912e+01  6.918310e+02 -2.578684e+00 
 7.079458e+02  1.774510e+01  7.079458e+02 -2.589042e+00 
 7.244360e+02  1.779924e+01  7.244360e+02 -2.599293e+00 
 7.413102e+02  1.785158e+01  7.413102e+02 -2.609435e+00 
 7.585776e+02  1.790215e+01  7.585776e+02 -2.619463e+00 
 7.762471e+02  1.795100e+01  7.762471e+02 -2.629376e+00 
 7.943282e+02  1.799816e+01  7.943282e+02 -2.639171e+00 
 8.128305e+02  1.804367e+01  8.128305e+02 -2.648845e+00 
 8.317638e+02  1.808759e+01  8.317638e+02 -2.658397e+00 
 8.511380e+02  1.812994e+01  8.511380e+02 -2.667824e+00 
 8.709636e+02  1.817077e+01  8.709636e+02 -2.677125e+00 
 8.912509e+02  1.821012e+01  8.912509e+02 -2.686299e+00 
 9.120108e+02  1.824804e+01  9.120108e+02 -2.695344e+00 
 9.332543e+02  1.828455e+01  9.332543e+02 -2.704258e+00 
 9.549926e+02  1.831971e+01  9.549926e+02 -2.713042e+00 
 9.772372e+02  1.835355e+01  9.772372e+02 -2.721694e+00 
 1.000000e+03  1.838611e+01  1.000000e+03 -2.730214e+00 
 1.023293e+03  1.841743e+01  1.023293e+03 -2.738601e+00 
 1.047129e+03  1.844755e+01  1.047129e+03 -2.746856e+00 
